 time            V("/vd1")       V("/vd2")       V("/vcont")     V("/vload")    
 5.12800000e-01  4.99467133e+00  1.00536675e+00  1.88967200e+01  1.15601398e-10 
 5.22800000e-01  4.99467129e+00  1.00536698e+00  1.92457200e+01  2.88086247e-11 
 5.32800000e-01  4.99467133e+00  1.00536675e+00  1.95947200e+01  1.15274512e-10 
 5.42800000e-01  4.99467129e+00  1.00536698e+00  1.99437200e+01  2.90842887e-11 
 5.52800000e-01  4.99467133e+00  1.00536675e+00  2.02927200e+01  1.15049023e-10 
 5.62800000e-01  4.99467130e+00  1.00536698e+00  2.06417200e+01  2.93386747e-11 
 5.72800000e-01  4.99467133e+00  1.00536675e+00  2.09907200e+01  1.14706670e-10 
 5.82800000e-01  4.99467130e+00  1.00536698e+00  2.13397200e+01  2.97125995e-11 
 5.92800000e-01  4.99467133e+00  1.00536675e+00  2.16887200e+01  1.14341614e-10 
 6.02800000e-01  4.99467130e+00  1.00536698e+00  2.20377200e+01  3.00712052e-11 
 6.12800000e-01  4.99467133e+00  1.00536675e+00  2.23867200e+01  1.13995430e-10 
 6.22800000e-01  4.99467129e+00  1.00536698e+00  2.27357200e+01  3.03420449e-11 
 6.32800000e-01  4.99467133e+00  1.00536676e+00  2.30847200e+01  1.13808078e-10 
 6.42800000e-01  4.99467129e+00  1.00536698e+00  2.34337200e+01  3.05656675e-11 
 6.52800000e-01  4.99467134e+00  1.00536676e+00  2.37827200e+01  1.13564710e-10 
 6.62800000e-01  4.99467129e+00  1.00536698e+00  2.41317200e+01  3.07015688e-11 
 6.72800000e-01  4.99467133e+00  1.00536676e+00  2.44807200e+01  1.13414294e-10 
 6.82800000e-01  4.99467129e+00  1.00536698e+00  2.48297200e+01  3.09934005e-11 
 6.92800000e-01  4.99467133e+00  1.00536676e+00  2.51787200e+01  1.13039168e-10 
 7.02800000e-01  4.99467129e+00  1.00536698e+00  2.55277200e+01  3.14010531e-11 
 7.12800000e-01  4.99467133e+00  1.00536676e+00  2.58767200e+01  1.12732691e-10 
 7.22800000e-01  4.99467129e+00  1.00536698e+00  2.62257200e+01  3.15948202e-11 
 7.32800000e-01  4.99467133e+00  1.00536676e+00  2.65747200e+01  1.12451820e-10 
 7.42800000e-01  4.99467129e+00  1.00536698e+00  2.69237200e+01  3.19186394e-11 
